date,day_of_week,day_of_month,month,is_weekend,department,daily_appointment_demand
2025-01-10,4,10,1,0,Gynecology,11
2025-01-11,5,11,1,1,Cardiology,15
2025-01-11,5,11,1,1,Pediatrics,19
2025-01-11,5,11,1,1,Dermatology,13
2025-01-11,5,11,1,1,General Medicine,21
2025-01-11,5,11,1,1,Orthopedics,9
2025-01-11,5,11,1,1,Neurology,7
2025-01-11,5,11,1,1,ENT,10
2025-01-11,5,11,1,1,Gynecology,9
2025-01-12,6,12,1,1,Cardiology,10
2025-01-12,6,12,1,1,Pediatrics,14
2025-01-12,6,12,1,1,Dermatology,7
2025-01-12,6,12,1,1,General Medicine,18
2025-01-12,6,12,1,1,Orthopedics,7
2025-01-12,6,12,1,1,Neurology,5
2025-01-12,6,12,1,1,ENT,5
2025-01-12,6,12,1,1,Gynecology,3
2025-01-13,0,13,1,0,Cardiology,35
2025-01-13,0,13,1,0,Pediatrics,41
2025-01-13,0,13,1,0,Dermatology,23
2025-01-13,0,13,1,0,General Medicine,50
2025-01-13,0,13,1,0,Orthopedics,22
2025-01-13,0,13,1,0,Neurology,17
2025-01-13,0,13,1,0,ENT,18
2025-01-13,0,13,1,0,Gynecology,18
2025-01-14,1,14,1,0,Cardiology,31
2025-01-14,1,14,1,0,Pediatrics,38
2025-01-14,1,14,1,0,Dermatology,24
2025-01-14,1,14,1,0,General Medicine,46
2025-01-14,1,14,1,0,Orthopedics,24
2025-01-14,1,14,1,0,Neurology,16
2025-01-14,1,14,1,0,ENT,13
2025-01-14,1,14,1,0,Gynecology,18
2025-01-15,2,15,1,0,Cardiology,29
2025-01-15,2,15,1,0,Pediatrics,39
2025-01-15,2,15,1,0,Dermatology,19
2025-01-15,2,15,1,0,General Medicine,43
2025-01-15,2,15,1,0,Orthopedics,21
2025-01-15,2,15,1,0,Neurology,12
2025-01-15,2,15,1,0,ENT,18
2025-01-15,2,15,1,0,Gynecology,18
2025-01-16,3,16,1,0,Cardiology,29
2025-01-16,3,16,1,0,Pediatrics,31
2025-01-16,3,16,1,0,Dermatology,21
2025-01-16,3,16,1,0,General Medicine,37
2025-01-16,3,16,1,0,Orthopedics,21
2025-01-16,3,16,1,0,Neurology,18
2025-01-16,3,16,1,0,ENT,13
2025-01-16,3,16,1,0,Gynecology,15
2025-01-17,4,17,1,0,Cardiology,26
2025-01-17,4,17,1,0,Pediatrics,30
2025-01-17,4,17,1,0,Dermatology,14
2025-01-17,4,17,1,0,General Medicine,38
2025-01-17,4,17,1,0,Orthopedics,17
2025-01-17,4,17,1,0,Neurology,14
2025-01-17,4,17,1,0,ENT,12
2025-01-17,4,17,1,0,Gynecology,18
2025-01-18,5,18,1,1,Cardiology,14
2025-01-18,5,18,1,1,Pediatrics,17
2025-01-18,5,18,1,1,Dermatology,12
2025-01-18,5,18,1,1,General Medicine,20
2025-01-18,5,18,1,1,Orthopedics,11
2025-01-18,5,18,1,1,Neurology,10
2025-01-18,5,18,1,1,ENT,5
2025-01-18,5,18,1,1,Gynecology,9
2025-01-19,6,19,1,1,Cardiology,12
2025-01-19,6,19,1,1,Pediatrics,15
2025-01-19,6,19,1,1,Dermatology,5
2025-01-19,6,19,1,1,General Medicine,13
2025-01-19,6,19,1,1,Orthopedics,9
2025-01-19,6,19,1,1,Neurology,6
2025-01-19,6,19,1,1,ENT,7
2025-01-19,6,19,1,1,Gynecology,7
2025-01-20,0,20,1,0,Cardiology,33
2025-01-20,0,20,1,0,Pediatrics,41
2025-01-20,0,20,1,0,Dermatology,23
2025-01-20,0,20,1,0,General Medicine,49
2025-01-20,0,20,1,0,Orthopedics,29
2025-01-20,0,20,1,0,Neurology,18
2025-01-20,0,20,1,0,ENT,16
2025-01-20,0,20,1,0,Gynecology,21
2025-01-21,1,21,1,0,Cardiology,30
2025-01-21,1,21,1,0,Pediatrics,39
2025-01-21,1,21,1,0,Dermatology,23
2025-01-21,1,21,1,0,General Medicine,44
2025-01-21,1,21,1,0,Orthopedics,25
2025-01-21,1,21,1,0,Neurology,17
2025-01-21,1,21,1,0,ENT,19
2025-01-21,1,21,1,0,Gynecology,22
2025-01-22,2,22,1,0,Cardiology,28
2025-01-22,2,22,1,0,Pediatrics,33
2025-01-22,2,22,1,0,Dermatology,17
2025-01-22,2,22,1,0,General Medicine,40
2025-01-22,2,22,1,0,Orthopedics,21
2025-01-22,2,22,1,0,Neurology,15
2025-01-22,2,22,1,0,ENT,16
2025-01-22,2,22,1,0,Gynecology,18
2025-01-23,3,23,1,0,Cardiology,28
2025-01-23,3,23,1,0,Pediatrics,35
2025-01-23,3,23,1,0,Dermatology,17
2025-01-23,3,23,1,0,General Medicine,45
2025-01-23,3,23,1,0,Orthopedics,21
2025-01-23,3,23,1,0,Neurology,12
2025-01-23,3,23,1,0,ENT,13
2025-01-23,3,23,1,0,Gynecology,17
2025-01-24,4,24,1,0,Cardiology,26
2025-01-24,4,24,1,0,Pediatrics,32
2025-01-24,4,24,1,0,Dermatology,18
2025-01-24,4,24,1,0,General Medicine,38
2025-01-24,4,24,1,0,Orthopedics,17
2025-01-24,4,24,1,0,Neurology,10
2025-01-24,4,24,1,0,ENT,13
2025-01-24,4,24,1,0,Gynecology,17
2025-01-25,5,25,1,1,Cardiology,16
2025-01-25,5,25,1,1,Pediatrics,15
2025-01-25,5,25,1,1,Dermatology,10
2025-01-25,5,25,1,1,General Medicine,23
2025-01-25,5,25,1,1,Orthopedics,9
2025-01-25,5,25,1,1,Neurology,8
2025-01-25,5,25,1,1,ENT,8
2025-01-25,5,25,1,1,Gynecology,7
2025-01-26,6,26,1,1,Cardiology,12
2025-01-26,6,26,1,1,Pediatrics,14
2025-01-26,6,26,1,1,Dermatology,9
2025-01-26,6,26,1,1,General Medicine,18
2025-01-26,6,26,1,1,Orthopedics,5
2025-01-26,6,26,1,1,Neurology,4
2025-01-26,6,26,1,1,ENT,7
2025-01-26,6,26,1,1,Gynecology,7
2025-01-27,0,27,1,0,Cardiology,36
2025-01-27,0,27,1,0,Pediatrics,48
2025-01-27,0,27,1,0,Dermatology,24
2025-01-27,0,27,1,0,General Medicine,52
2025-01-27,0,27,1,0,Orthopedics,27
2025-01-27,0,27,1,0,Neurology,19
2025-01-27,0,27,1,0,ENT,18
2025-01-27,0,27,1,0,Gynecology,22
2025-01-28,1,28,1,0,Cardiology,30
2025-01-28,1,28,1,0,Pediatrics,37
2025-01-28,1,28,1,0,Dermatology,20
2025-01-28,1,28,1,0,General Medicine,46
2025-01-28,1,28,1,0,Orthopedics,28
2025-01-28,1,28,1,0,Neurology,12
2025-01-28,1,28,1,0,ENT,19
2025-01-28,1,28,1,0,Gynecology,15
2025-01-29,2,29,1,0,Cardiology,28
2025-01-29,2,29,1,0,Pediatrics,36
2025-01-29,2,29,1,0,Dermatology,19
2025-01-29,2,29,1,0,General Medicine,40
2025-01-29,2,29,1,0,Orthopedics,20
2025-01-29,2,29,1,0,Neurology,16
2025-01-29,2,29,1,0,ENT,14
2025-01-29,2,29,1,0,Gynecology,17
2025-01-30,3,30,1,0,Cardiology,28
2025-01-30,3,30,1,0,Pediatrics,31
2025-01-30,3,30,1,0,Dermatology,22
2025-01-30,3,30,1,0,General Medicine,41
2025-01-30,3,30,1,0,Orthopedics,16
2025-01-30,3,30,1,0,Neurology,14
2025-01-30,3,30,1,0,ENT,14
2025-01-30,3,30,1,0,Gynecology,18
2025-01-31,4,31,1,0,Cardiology,25
2025-01-31,4,31,1,0,Pediatrics,31
2025-01-31,4,31,1,0,Dermatology,18
2025-01-31,4,31,1,0,General Medicine,40
2025-01-31,4,31,1,0,Orthopedics,17
2025-01-31,4,31,1,0,Neurology,13
2025-01-31,4,31,1,0,ENT,13
2025-01-31,4,31,1,0,Gynecology,14
2025-02-01,5,1,2,1,Cardiology,17
2025-02-01,5,1,2,1,Pediatrics,19
2025-02-01,5,1,2,1,Dermatology,7
2025-02-01,5,1,2,1,General Medicine,24
2025-02-01,5,1,2,1,Orthopedics,15
2025-02-01,5,1,2,1,Neurology,10
2025-02-01,5,1,2,1,ENT,5
2025-02-01,5,1,2,1,Gynecology,8
2025-02-02,6,2,2,1,Cardiology,12
2025-02-02,6,2,2,1,Pediatrics,12
2025-02-02,6,2,2,1,Dermatology,8
2025-02-02,6,2,2,1,General Medicine,18
2025-02-02,6,2,2,1,Orthopedics,6
2025-02-02,6,2,2,1,Neurology,5
2025-02-02,6,2,2,1,ENT,2
2025-02-02,6,2,2,1,Gynecology,4
2025-02-03,0,3,2,0,Cardiology,29
2025-02-03,0,3,2,0,Pediatrics,38
2025-02-03,0,3,2,0,Dermatology,26
2025-02-03,0,3,2,0,General Medicine,47
2025-02-03,0,3,2,0,Orthopedics,24
2025-02-03,0,3,2,0,Neurology,18
2025-02-03,0,3,2,0,ENT,22
2025-02-03,0,3,2,0,Gynecology,17
2025-02-04,1,4,2,0,Cardiology,30
2025-02-04,1,4,2,0,Pediatrics,37
2025-02-04,1,4,2,0,Dermatology,19
2025-02-04,1,4,2,0,General Medicine,47
2025-02-04,1,4,2,0,Orthopedics,23
2025-02-04,1,4,2,0,Neurology,15
2025-02-04,1,4,2,0,ENT,17
2025-02-04,1,4,2,0,Gynecology,18
2025-02-05,2,5,2,0,Cardiology,25
2025-02-05,2,5,2,0,Pediatrics,35
2025-02-05,2,5,2,0,Dermatology,22
2025-02-05,2,5,2,0,General Medicine,40
2025-02-05,2,5,2,0,Orthopedics,25
2025-02-05,2,5,2,0,Neurology,11
2025-02-05,2,5,2,0,ENT,15
2025-02-05,2,5,2,0,Gynecology,18
2025-02-06,3,6,2,0,Cardiology,25
2025-02-06,3,6,2,0,Pediatrics,31
2025-02-06,3,6,2,0,Dermatology,18
2025-02-06,3,6,2,0,General Medicine,39
2025-02-06,3,6,2,0,Orthopedics,19
2025-02-06,3,6,2,0,Neurology,16
2025-02-06,3,6,2,0,ENT,16
2025-02-06,3,6,2,0,Gynecology,15
2025-02-07,4,7,2,0,Cardiology,25
2025-02-07,4,7,2,0,Pediatrics,31
2025-02-07,4,7,2,0,Dermatology,19
2025-02-07,4,7,2,0,General Medicine,39
2025-02-07,4,7,2,0,Orthopedics,17
2025-02-07,4,7,2,0,Neurology,12
2025-02-07,4,7,2,0,ENT,16
2025-02-07,4,7,2,0,Gynecology,16
2025-02-08,5,8,2,1,Cardiology,13
2025-02-08,5,8,2,1,Pediatrics,18
2025-02-08,5,8,2,1,Dermatology,12
2025-02-08,5,8,2,1,General Medicine,21
2025-02-08,5,8,2,1,Orthopedics,12
2025-02-08,5,8,2,1,Neurology,7
2025-02-08,5,8,2,1,ENT,8
2025-02-08,5,8,2,1,Gynecology,11
2025-02-09,6,9,2,1,Cardiology,11
2025-02-09,6,9,2,1,Pediatrics,15
2025-02-09,6,9,2,1,Dermatology,10
2025-02-09,6,9,2,1,General Medicine,16
2025-02-09,6,9,2,1,Orthopedics,9
2025-02-09,6,9,2,1,Neurology,5
2025-02-09,6,9,2,1,ENT,7
2025-02-09,6,9,2,1,Gynecology,6
2025-02-10,0,10,2,0,Cardiology,30
2025-02-10,0,10,2,0,Pediatrics,42
2025-02-10,0,10,2,0,Dermatology,21
2025-02-10,0,10,2,0,General Medicine,54
2025-02-10,0,10,2,0,Orthopedics,23
2025-02-10,0,10,2,0,Neurology,15
2025-02-10,0,10,2,0,ENT,21
2025-02-10,0,10,2,0,Gynecology,22
2025-02-11,1,11,2,0,Cardiology,29
2025-02-11,1,11,2,0,Pediatrics,39
2025-02-11,1,11,2,0,Dermatology,21
2025-02-11,1,11,2,0,General Medicine,44
2025-02-11,1,11,2,0,Orthopedics,23
2025-02-11,1,11,2,0,Neurology,15
2025-02-11,1,11,2,0,ENT,19
2025-02-11,1,11,2,0,Gynecology,18
2025-02-12,2,12,2,0,Cardiology,24
2025-02-12,2,12,2,0,Pediatrics,33
2025-02-12,2,12,2,0,Dermatology,20
2025-02-12,2,12,2,0,General Medicine,41
2025-02-12,2,12,2,0,Orthopedics,19
2025-02-12,2,12,2,0,Neurology,15
2025-02-12,2,12,2,0,ENT,16
2025-02-12,2,12,2,0,Gynecology,16
2025-02-13,3,13,2,0,Cardiology,23
2025-02-13,3,13,2,0,Pediatrics,33
2025-02-13,3,13,2,0,Dermatology,15
2025-02-13,3,13,2,0,General Medicine,37
2025-02-13,3,13,2,0,Orthopedics,19
2025-02-13,3,13,2,0,Neurology,14
2025-02-13,3,13,2,0,ENT,16
2025-02-13,3,13,2,0,Gynecology,19
2025-02-14,4,14,2,0,Cardiology,25
2025-02-14,4,14,2,0,Pediatrics,31
2025-02-14,4,14,2,0,Dermatology,17
2025-02-14,4,14,2,0,General Medicine,36
2025-02-14,4,14,2,0,Orthopedics,19
2025-02-14,4,14,2,0,Neurology,13
2025-02-14,4,14,2,0,ENT,15
2025-02-14,4,14,2,0,Gynecology,14
2025-02-15,5,15,2,1,Cardiology,14
2025-02-15,5,15,2,1,Pediatrics,21
2025-02-15,5,15,2,1,Dermatology,10
2025-02-15,5,15,2,1,General Medicine,23
2025-02-15,5,15,2,1,Orthopedics,12
2025-02-15,5,15,2,1,Neurology,7
2025-02-15,5,15,2,1,ENT,9
2025-02-15,5,15,2,1,Gynecology,9
2025-02-16,6,16,2,1,Cardiology,10
2025-02-16,6,16,2,1,Pediatrics,11
2025-02-16,6,16,2,1,Dermatology,7
2025-02-16,6,16,2,1,General Medicine,17
2025-02-16,6,16,2,1,Orthopedics,11
2025-02-16,6,16,2,1,Neurology,8
2025-02-16,6,16,2,1,ENT,10
2025-02-16,6,16,2,1,Gynecology,5
2025-02-17,0,17,2,0,Cardiology,32
2025-02-17,0,17,2,0,Pediatrics,41
2025-02-17,0,17,2,0,Dermatology,27
2025-02-17,0,17,2,0,General Medicine,48
2025-02-17,0,17,2,0,Orthopedics,23
2025-02-17,0,17,2,0,Neurology,16
2025-02-17,0,17,2,0,ENT,15
2025-02-17,0,17,2,0,Gynecology,19
2025-02-18,1,18,2,0,Cardiology,26
2025-02-18,1,18,2,0,Pediatrics,38
2025-02-18,1,18,2,0,Dermatology,21
2025-02-18,1,18,2,0,General Medicine,50
2025-02-18,1,18,2,0,Orthopedics,25
2025-02-18,1,18,2,0,Neurology,15
2025-02-18,1,18,2,0,ENT,15
2025-02-18,1,18,2,0,Gynecology,19
2025-02-19,2,19,2,0,Cardiology,23
2025-02-19,2,19,2,0,Pediatrics,38
2025-02-19,2,19,2,0,Dermatology,21
2025-02-19,2,19,2,0,General Medicine,41
2025-02-19,2,19,2,0,Orthopedics,18
2025-02-19,2,19,2,0,Neurology,17
2025-02-19,2,19,2,0,ENT,16
2025-02-19,2,19,2,0,Gynecology,19
2025-02-20,3,20,2,0,Cardiology,21
2025-02-20,3,20,2,0,Pediatrics,31
2025-02-20,3,20,2,0,Dermatology,18
2025-02-20,3,20,2,0,General Medicine,40
2025-02-20,3,20,2,0,Orthopedics,19
2025-02-20,3,20,2,0,Neurology,15
2025-02-20,3,20,2,0,ENT,13
2025-02-20,3,20,2,0,Gynecology,16
2025-02-21,4,21,2,0,Cardiology,23
2025-02-21,4,21,2,0,Pediatrics,32
2025-02-21,4,21,2,0,Dermatology,19
2025-02-21,4,21,2,0,General Medicine,36
2025-02-21,4,21,2,0,Orthopedics,16
2025-02-21,4,21,2,0,Neurology,16
2025-02-21,4,21,2,0,ENT,15
2025-02-21,4,21,2,0,Gynecology,14
2025-02-22,5,22,2,1,Cardiology,16
2025-02-22,5,22,2,1,Pediatrics,18
2025-02-22,5,22,2,1,Dermatology,12
2025-02-22,5,22,2,1,General Medicine,22
2025-02-22,5,22,2,1,Orthopedics,15
2025-02-22,5,22,2,1,Neurology,11
2025-02-22,5,22,2,1,ENT,8
2025-02-22,5,22,2,1,Gynecology,11
2025-02-23,6,23,2,1,Cardiology,11
2025-02-23,6,23,2,1,Pediatrics,16
2025-02-23,6,23,2,1,Dermatology,5
2025-02-23,6,23,2,1,General Medicine,17
2025-02-23,6,23,2,1,Orthopedics,10
2025-02-23,6,23,2,1,Neurology,2
2025-02-23,6,23,2,1,ENT,4
2025-02-23,6,23,2,1,Gynecology,2
2025-02-24,0,24,2,0,Cardiology,29
2025-02-24,0,24,2,0,Pediatrics,42
2025-02-24,0,24,2,0,Dermatology,26
2025-02-24,0,24,2,0,General Medicine,50
2025-02-24,0,24,2,0,Orthopedics,28
2025-02-24,0,24,2,0,Neurology,15
2025-02-24,0,24,2,0,ENT,15
2025-02-24,0,24,2,0,Gynecology,20
2025-02-25,1,25,2,0,Cardiology,28
2025-02-25,1,25,2,0,Pediatrics,37
2025-02-25,1,25,2,0,Dermatology,17
2025-02-25,1,25,2,0,General Medicine,46
2025-02-25,1,25,2,0,Orthopedics,20
2025-02-25,1,25,2,0,Neurology,17
2025-02-25,1,25,2,0,ENT,18
2025-02-25,1,25,2,0,Gynecology,17
2025-02-26,2,26,2,0,Cardiology,24
2025-02-26,2,26,2,0,Pediatrics,32
2025-02-26,2,26,2,0,Dermatology,19
2025-02-26,2,26,2,0,General Medicine,44
2025-02-26,2,26,2,0,Orthopedics,19
2025-02-26,2,26,2,0,Neurology,16
2025-02-26,2,26,2,0,ENT,15
2025-02-26,2,26,2,0,Gynecology,15
2025-02-27,3,27,2,0,Cardiology,24
2025-02-27,3,27,2,0,Pediatrics,30
2025-02-27,3,27,2,0,Dermatology,17
2025-02-27,3,27,2,0,General Medicine,38
2025-02-27,3,27,2,0,Orthopedics,24
2025-02-27,3,27,2,0,Neurology,14
2025-02-27,3,27,2,0,ENT,14
2025-02-27,3,27,2,0,Gynecology,16
2025-02-28,4,28,2,0,Cardiology,23
2025-02-28,4,28,2,0,Pediatrics,30
2025-02-28,4,28,2,0,Dermatology,18
2025-02-28,4,28,2,0,General Medicine,40
2025-02-28,4,28,2,0,Orthopedics,18
2025-02-28,4,28,2,0,Neurology,12
2025-02-28,4,28,2,0,ENT,14
2025-02-28,4,28,2,0,Gynecology,11
2025-03-01,5,1,3,1,Cardiology,10
2025-03-01,5,1,3,1,Pediatrics,17
2025-03-01,5,1,3,1,Dermatology,13
2025-03-01,5,1,3,1,General Medicine,17
2025-03-01,5,1,3,1,Orthopedics,12
2025-03-01,5,1,3,1,Neurology,8
2025-03-01,5,1,3,1,ENT,13
2025-03-01,5,1,3,1,Gynecology,11
2025-03-02,6,2,3,1,Cardiology,9
2025-03-02,6,2,3,1,Pediatrics,8
2025-03-02,6,2,3,1,Dermatology,4
2025-03-02,6,2,3,1,General Medicine,13
2025-03-02,6,2,3,1,Orthopedics,6
2025-03-02,6,2,3,1,Neurology,3
2025-03-02,6,2,3,1,ENT,4
2025-03-02,6,2,3,1,Gynecology,4
2025-03-03,0,3,3,0,Cardiology,33
2025-03-03,0,3,3,0,Pediatrics,34
2025-03-03,0,3,3,0,Dermatology,22
2025-03-03,0,3,3,0,General Medicine,43
2025-03-03,0,3,3,0,Orthopedics,25
2025-03-03,0,3,3,0,Neurology,16
2025-03-03,0,3,3,0,ENT,18
2025-03-03,0,3,3,0,Gynecology,21
2025-03-04,1,4,3,0,Cardiology,26
2025-03-04,1,4,3,0,Pediatrics,30
2025-03-04,1,4,3,0,Dermatology,19
2025-03-04,1,4,3,0,General Medicine,34
2025-03-04,1,4,3,0,Orthopedics,25
2025-03-04,1,4,3,0,Neurology,20
2025-03-04,1,4,3,0,ENT,11
2025-03-04,1,4,3,0,Gynecology,20
2025-03-05,2,5,3,0,Cardiology,24
2025-03-05,2,5,3,0,Pediatrics,26
2025-03-05,2,5,3,0,Dermatology,18
2025-03-05,2,5,3,0,General Medicine,32
2025-03-05,2,5,3,0,Orthopedics,21
2025-03-05,2,5,3,0,Neurology,13
2025-03-05,2,5,3,0,ENT,13
2025-03-05,2,5,3,0,Gynecology,17
2025-03-06,3,6,3,0,Cardiology,24
2025-03-06,3,6,3,0,Pediatrics,24
2025-03-06,3,6,3,0,Dermatology,17
2025-03-06,3,6,3,0,General Medicine,34
2025-03-06,3,6,3,0,Orthopedics,21
2025-03-06,3,6,3,0,Neurology,12
2025-03-06,3,6,3,0,ENT,12
2025-03-06,3,6,3,0,Gynecology,18
2025-03-07,4,7,3,0,Cardiology,19
2025-03-07,4,7,3,0,Pediatrics,26
2025-03-07,4,7,3,0,Dermatology,16
2025-03-07,4,7,3,0,General Medicine,32
2025-03-07,4,7,3,0,Orthopedics,17
2025-03-07,4,7,3,0,Neurology,10
2025-03-07,4,7,3,0,ENT,8
2025-03-07,4,7,3,0,Gynecology,15
2025-03-08,5,8,3,1,Cardiology,14
2025-03-08,5,8,3,1,Pediatrics,12
2025-03-08,5,8,3,1,Dermatology,11
2025-03-08,5,8,3,1,General Medicine,14
2025-03-08,5,8,3,1,Orthopedics,11
2025-03-08,5,8,3,1,Neurology,5
2025-03-08,5,8,3,1,ENT,5
2025-03-08,5,8,3,1,Gynecology,9
2025-03-09,6,9,3,1,Cardiology,8
2025-03-09,6,9,3,1,Pediatrics,10
2025-03-09,6,9,3,1,Dermatology,9
2025-03-09,6,9,3,1,General Medicine,12
2025-03-09,6,9,3,1,Orthopedics,10
2025-03-09,6,9,3,1,Neurology,3
2025-03-09,6,9,3,1,ENT,6
2025-03-09,6,9,3,1,Gynecology,9
2025-03-10,0,10,3,0,Cardiology,25
2025-03-10,0,10,3,0,Pediatrics,31
2025-03-10,0,10,3,0,Dermatology,24
2025-03-10,0,10,3,0,General Medicine,40
2025-03-10,0,10,3,0,Orthopedics,26
2025-03-10,0,10,3,0,Neurology,16
2025-03-10,0,10,3,0,ENT,15
2025-03-10,0,10,3,0,Gynecology,20
2025-03-11,1,11,3,0,Cardiology,30
2025-03-11,1,11,3,0,Pediatrics,30
2025-03-11,1,11,3,0,Dermatology,21
2025-03-11,1,11,3,0,General Medicine,36
2025-03-11,1,11,3,0,Orthopedics,22
2025-03-11,1,11,3,0,Neurology,15
2025-03-11,1,11,3,0,ENT,15
2025-03-11,1,11,3,0,Gynecology,18
2025-03-12,2,12,3,0,Cardiology,26
2025-03-12,2,12,3,0,Pediatrics,31
2025-03-12,2,12,3,0,Dermatology,21
2025-03-12,2,12,3,0,General Medicine,33
2025-03-12,2,12,3,0,Orthopedics,23
2025-03-12,2,12,3,0,Neurology,14
2025-03-12,2,12,3,0,ENT,9
2025-03-12,2,12,3,0,Gynecology,15
2025-03-13,3,13,3,0,Cardiology,20
2025-03-13,3,13,3,0,Pediatrics,25
2025-03-13,3,13,3,0,Dermatology,18
2025-03-13,3,13,3,0,General Medicine,35
2025-03-13,3,13,3,0,Orthopedics,21
2025-03-13,3,13,3,0,Neurology,14
2025-03-13,3,13,3,0,ENT,14
2025-03-13,3,13,3,0,Gynecology,12
2025-03-14,4,14,3,0,Cardiology,23
2025-03-14,4,14,3,0,Pediatrics,26
2025-03-14,4,14,3,0,Dermatology,14
2025-03-14,4,14,3,0,General Medicine,33
2025-03-14,4,14,3,0,Orthopedics,20
2025-03-14,4,14,3,0,Neurology,12
2025-03-14,4,14,3,0,ENT,13
2025-03-14,4,14,3,0,Gynecology,20
2025-03-15,5,15,3,1,Cardiology,14
2025-03-15,5,15,3,1,Pediatrics,15
2025-03-15,5,15,3,1,Dermatology,9
2025-03-15,5,15,3,1,General Medicine,16
2025-03-15,5,15,3,1,Orthopedics,13
2025-03-15,5,15,3,1,Neurology,6
2025-03-15,5,15,3,1,ENT,7
2025-03-15,5,15,3,1,Gynecology,8
2025-03-16,6,16,3,1,Cardiology,11
2025-03-16,6,16,3,1,Pediatrics,11
2025-03-16,6,16,3,1,Dermatology,9
2025-03-16,6,16,3,1,General Medicine,12
2025-03-16,6,16,3,1,Orthopedics,7
2025-03-16,6,16,3,1,Neurology,4
2025-03-16,6,16,3,1,ENT,4
2025-03-16,6,16,3,1,Gynecology,7
2025-03-17,0,17,3,0,Cardiology,32
2025-03-17,0,17,3,0,Pediatrics,31
2025-03-17,0,17,3,0,Dermatology,24
2025-03-17,0,17,3,0,General Medicine,43
2025-03-17,0,17,3,0,Orthopedics,26
2025-03-17,0,17,3,0,Neurology,21
2025-03-17,0,17,3,0,ENT,13
2025-03-17,0,17,3,0,Gynecology,18
2025-03-18,1,18,3,0,Cardiology,24
